iter	RMSE
0	5.875808681
1	5.758109314
2	5.652398888
3	5.566383698
4	5.475826438
5	5.404424807
6	5.336259044
7	5.278131929
8	5.221899014
9	5.166239425
10	5.114720553
11	5.057075381
12	5.018277769
13	4.978816689
14	4.931982471
15	4.895855193
16	4.86579615
17	4.836966569
18	4.809248345
19	4.783045346
20	4.762880701
21	4.733456672
22	4.713434589
23	4.683362042
24	4.670858279
25	4.644194772
26	4.620451678
27	4.605329632
28	4.591873273
29	4.576130055
30	4.563326212
31	4.553508298
32	4.53364255
33	4.515901695
34	4.505039872
35	4.491308054
36	4.479281271
37	4.466913339
38	4.454405895
39	4.447546598
40	4.436732405
41	4.429473409
42	4.423057467
43	4.415105716
44	4.406118054
45	4.396700751
46	4.392143187
47	4.388249399
48	4.377387194
49	4.373422576
50	4.363945107
51	4.353504593
52	4.346895744
53	4.335708417
54	4.333170296
55	4.327307401
56	4.324996971
57	4.319463818
58	4.316713138
59	4.311212519
60	4.305403206
61	4.300790792
62	4.296601907
63	4.287408992
64	4.280097699
65	4.276053685
66	4.270208412
67	4.265091871
68	4.261277423
69	4.249105872
70	4.244498645
71	4.240529396
72	4.23123876
73	4.225477982
74	4.224591385
75	4.216300436
76	4.215328814
77	4.206192829
78	4.200249439
79	4.198152319
80	4.195070303
81	4.191076825
82	4.188781054
83	4.183638836
84	4.172102725
85	4.162429226
86	4.154462892
87	4.144494955
88	4.138739194
89	4.133107866
90	4.129328996
91	4.117748393
92	4.109438555
93	4.104489649
94	4.093972501
95	4.092208202
96	4.085309546
97	4.083798999
98	4.081614308
99	4.075019566
100	4.073634565
101	4.063797963
102	4.056972177
103	4.055109906
104	4.054356956
105	4.050112245
106	4.047101093
107	4.038381193
108	4.030164217
109	4.024649269
110	4.018327209
111	4.013409021
112	4.009962451
113	4.008268498
114	4.001734462
115	4.00060696
116	3.992588246
117	3.987596319
118	3.980884796
119	3.975010075
120	3.973937581
121	3.968274498
122	3.96079358
123	3.956585656
124	3.955656508
125	3.95047783
126	3.946110215
127	3.933004446
128	3.931848598
129	3.924258047
130	3.920392051
131	3.918453894
132	3.915930933
133	3.912239307
134	3.911015756
135	3.910642809
136	3.909669501
137	3.902042213
138	3.897118168
139	3.89564619
140	3.89453375
141	3.893462206
142	3.878502008
143	3.87077421
144	3.8696478
145	3.863866794
146	3.861555363
147	3.861149059
148	3.859720614
149	3.85850641
150	3.855768292
151	3.854764339
152	3.85327851
153	3.849217062
154	3.84860909
155	3.847645055
156	3.847114157
157	3.844958001
158	3.840408046
159	3.839396686
160	3.838475011
161	3.832614104
162	3.831787361
163	3.830988529
164	3.829676027
165	3.826908355
166	3.825050806
167	3.82332543
168	3.822892306
169	3.822547145
170	3.821684988
171	3.820706774
172	3.815102474
173	3.810564081
174	3.806756219
175	3.802168262
176	3.801748588
177	3.791155664
178	3.787904212
179	3.785920859
180	3.785687534
181	3.781671342
182	3.778361068
183	3.775395111
184	3.773888003
185	3.770427593
186	3.767452291
187	3.761383862
188	3.756289075
189	3.752140366
190	3.744080711
191	3.741776173
192	3.73809131
193	3.732893077
194	3.729173105
195	3.727051488
196	3.72074641
197	3.719899454
198	3.718381067
199	3.71055693
200	3.707530758
201	3.70046096
202	3.695424141
203	3.693290966
204	3.692658973
205	3.686609597
206	3.686208377
207	3.684255548
208	3.683627697
209	3.681624097
210	3.678956226
211	3.673220286
212	3.670429259
213	3.662976053
214	3.6614211
215	3.660988359
216	3.658273631
217	3.654568889
218	3.648746675
219	3.646419554
220	3.645857496
221	3.642157703
222	3.638930736
223	3.636808735
224	3.635772332
225	3.633074229
