iter	Passed	Remaining
0	689	3447014
1	1168	2919838
2	1514	2522336
3	1733	2165488
4	1945	1943435
5	2182	1816789
6	2664	1900365
7	3048	1902100
8	3284	1821612
9	3553	1773312
10	3769	1709432
11	4013	1668395
12	4255	1632406
13	4473	1593054
14	4778	1588026
15	5109	1591733
16	5348	1567878
17	5675	1570774
18	5906	1548390
19	6245	1555076
20	6585	1561425
21	6909	1563421
22	7124	1541711
23	7423	1539162
24	7746	1541492
25	8088	1547426
26	8373	1542324
27	8585	1524534
28	8890	1523871
29	9266	1535222
30	9486	1520671
31	9755	1514483
32	10083	1517763
33	10291	1503214
34	10691	1516715
35	10914	1504972
36	11410	1530507
37	11860	1548742
38	12077	1536359
39	12584	1560519
40	12905	1560876
41	13133	1550361
42	13365	1540737
43	13739	1547533
44	14117	1554449
45	14347	1545119
46	14578	1536358
47	14774	1524231
48	15204	1536265
49	15503	1534875
50	15866	1539624
51	16189	1540452
52	16604	1549886
53	16964	1553829
54	17270	1552749
55	17574	1551621
56	17778	1541743
57	18080	1540609
58	18271	1530156
59	18594	1530966
60	18885	1529120
61	19078	1519497
62	19293	1511923
63	19566	1509103
64	19982	1517107
65	20375	1523256
66	20681	1522740
67	20955	1519922
68	21275	1520453
69	21620	1522698
70	22034	1529684
71	22511	1540790
72	22847	1542070
73	23216	1545469
74	23652	1553204
75	23928	1550302
76	24160	1544724
77	24533	1548114
78	24878	1549699
79	25256	1553276
80	25728	1562457
81	25998	1559276
82	26400	1564015
83	26740	1564927
84	27108	1567485
85	27454	1568731
86	27901	1575643
87	28421	1586440
88	28730	1585363
89	29291	1598035
90	29778	1606381
91	30357	1619529
92	30689	1619302
93	31202	1628528
94	31813	1642604
95	32244	1647156
96	32777	1656777
97	33125	1656955
98	33633	1665024
99	34099	1670897
100	34467	1671839
101	35007	1681054
102	35571	1691181
103	36167	1702672
104	36574	1705078
105	37055	1710826
106	37568	1717963
107	38056	1723803
108	38524	1728662
109	39080	1737313
110	39545	1741789
111	39878	1740423
112	40297	1742792
113	40561	1738436
114	41007	1741942
115	41305	1739120
116	41578	1735276
117	41968	1736366
118	42351	1737127
119	42764	1739108
120	43199	1741895
121	43623	1744236
122	43951	1742698
123	44304	1742165
124	44810	1747596
125	45194	1748238
126	45468	1744639
127	45883	1746439
128	46315	1748860
129	46795	1753028
130	47173	1753339
131	47530	1752858
132	47862	1751478
133	48187	1749868
134	48382	1743573
135	48678	1740977
136	49034	1740560
137	49490	1743644
138	50047	1750236
139	50406	1749815
140	50775	1749780
141	51053	1746588
142	51517	1749787
143	52047	1755151
144	52494	1757652
145	53105	1765590
146	53472	1765319
147	53727	1761390
148	54103	1761440
149	54566	1764319
150	55183	1772074
151	55448	1768516
152	55790	1767412
153	56160	1767221
154	56419	1763564
155	56663	1759477
156	56867	1754206
157	57149	1751366
158	57533	1751705
159	57925	1752248
160	58415	1755744
161	58872	1758189
162	59373	1761901
163	59621	1758115
164	59987	1757815
165	60322	1756628
166	60757	1758315
167	61110	1757640
168	61356	1753921
169	61572	1749394
170	61784	1744767
171	62202	1746010
172	62613	1747015
173	63118	1750636
174	63594	1753387
175	64011	1754490
176	64390	1754561
177	64903	1758236
178	65265	1757793
179	65688	1758978
180	66155	1761357
181	66625	1763740
182	66981	1763122
183	67485	1766364
184	67753	1763420
185	68327	1768438
186	68551	1764371
187	68791	1760772
188	69144	1760068
189	69573	1761318
190	69860	1758943
191	70285	1760067
192	70528	1756637
193	70998	1758861
194	71354	1758239
195	71822	1760374
196	72379	1764664
197	72905	1768130
198	73320	1768905
199	73787	1770892
200	74105	1769305
201	74384	1766819
202	74792	1767380
203	75277	1769757
204	75689	1770406
205	76141	1771952
206	76452	1770226
207	76869	1770956
208	77361	1773389
209	77831	1775300
210	78305	1777279
211	78674	1776850
212	78952	1774403
213	79355	1774735
214	79777	1775502
215	80184	1775938
216	80608	1776730
217	81055	1778012
218	81439	1777914
219	81831	1777976
220	82289	1779467
221	82698	1779883
222	82948	1776883
223	83477	1779865
224	84040	1783527
225	84581	1786695
226	85108	1789523
227	85505	1789623
228	85856	1788734
229	86267	1789119
230	86677	1789452
231	87219	1792513
232	87748	1795256
233	88315	1798771
234	88864	1801872
235	89176	1800152
236	89523	1799161
237	89912	1799009
238	90141	1795673
239	90525	1795415
240	90930	1795586
241	91328	1795616
242	91727	1795674
243	92221	1797561
244	92645	1798078
245	93122	1799605
246	93597	1801094
247	94079	1802677
248	94383	1800858
249	94655	1798452
250	94951	1796514
251	95223	1794128
252	95471	1791315
253	95733	1788786
254	96051	1787303
255	96403	1786468
256	96689	1784435
257	96892	1780864
258	97129	1777961
259	97483	1777199
260	97705	1774046
261	98089	1773847
262	98540	1774857
263	98820	1772776
264	99379	1775708
265	99856	1777140
266	100171	1775696
267	100556	1775503
268	100867	1773994
269	101218	1773189
270	101427	1769928
271	101833	1770112
272	102047	1766950
273	102311	1764687
274	102565	1762254
275	102778	1759147
276	103050	1757060
277	103274	1754180
278	103519	1751676
279	104007	1753276
280	104268	1751039
281	104737	1752305
282	105192	1753325
283	105626	1753992
284	105831	1750861
285	106214	1750682
286	106609	1750702
287	106980	1750320
288	107266	1748559
289	107662	1748586
290	107982	1747378
291	108212	1744734
292	108460	1742397
293	108866	1742597
294	109193	1741541
295	109391	1738442
296	110027	1742282
297	110459	1742884
298	110991	1745058
299	111437	1745859
300	111965	1747934
301	112323	1747339
302	112795	1748520
303	113199	1748634
304	113732	1750740
305	114090	1750129
306	114486	1750113
307	114902	1750400
308	115198	1748857
309	115545	1748095
310	115820	1746248
311	116024	1743344
312	116346	1742218
313	116572	1739671
314	116780	1736882
315	117267	1738236
316	117641	1737909
317	118145	1739481
318	118555	1739685
319	118779	1737145
320	119003	1734632
321	119530	1736530
322	119938	1736699
323	120602	1740554
324	121052	1741293
325	121413	1740750
326	121715	1739382
327	121948	1737020
328	122376	1737452
329	122893	1739131
330	123344	1739860
331	123837	1741189
332	124268	1741627
333	124799	1743453
334	125416	1746466
335	125865	1747137
336	126168	1745763
337	126537	1745317
338	126901	1744802
339	127313	1744938
340	127730	1745146
341	127951	1742688
342	128516	1744902
343	128910	1744782
344	129384	1745749
345	129722	1744881
346	130264	1746745
347	130751	1747856
348	131211	1748612
349	131707	1749822
350	132272	1751945
351	132485	1749413
352	132955	1750269
353	133344	1750048
354	133696	1749347
355	134220	1750899
356	134582	1750329
357	134938	1749677
358	135203	1747850
359	135702	1749056
360	136098	1748919
361	136506	1748935
362	136983	1749842
363	137409	1750086
364	137933	1751561
365	138483	1753362
366	139004	1754793
367	139518	1756116
368	139985	1756839
369	140315	1755843
370	140580	1754037
371	140997	1754135
372	141655	1757216
373	142281	1759879
374	142813	1761372
375	143321	1762552
376	143612	1761060
377	144091	1761883
378	144599	1763051
379	145093	1764026
380	145492	1763859
381	145937	1764235
382	146324	1763911
383	146655	1762923
384	147265	1765271
385	147650	1764923
386	148156	1766008
387	148582	1766140
388	148870	1764636
389	149262	1764362
390	149575	1763154
391	149830	1761277
392	150242	1761237
393	150718	1761957
394	151358	1764575
395	151746	1764240
396	152325	1766135
397	152765	1766401
398	153111	1765573
399	153604	1766453
400	154051	1766795
401	154789	1770453
402	155149	1769783
403	155554	1769620
404	156045	1770440
405	156543	1771334
406	157142	1773357
407	157478	1772409
408	158003	1773583
409	158518	1774635
410	158859	1773736
411	159421	1775306
412	160069	1777818
413	160554	1778512
414	161206	1781038
415	161586	1780553
416	162143	1782022
417	162567	1782018
418	162800	1779925
419	163138	1778990
420	163828	1781875
421	164374	1783189
422	164829	1783513
423	165459	1785716
424	166026	1787229
425	166358	1786202
426	166999	1788497
427	167307	1787224
428	167829	1788229
429	168389	1789623
430	168826	1789714
431	169362	1790852
432	169808	1791023
433	170120	1789796
434	170562	1789928
435	171045	1790487
436	171505	1790798
437	171972	1791181
438	172498	1792176
439	172967	1792569
440	173501	1793630
441	173981	1794131
442	174565	1795700
443	175036	1796099
444	175367	1795055
445	175771	1794761
446	176348	1796232
447	176625	1794644
448	176990	1793947
449	177480	1794529
