iter	RMSE
0	5.875808681
1	5.758109314
2	5.652398888
3	5.566383698
4	5.475826438
5	5.404424807
6	5.336259044
7	5.278131929
8	5.221899014
9	5.166239425
10	5.114720553
11	5.057075381
12	5.018277769
13	4.978816689
14	4.931982471
15	4.895855193
16	4.86579615
17	4.836966569
18	4.809248345
19	4.783045346
20	4.762880701
21	4.733456672
22	4.713434589
23	4.683362042
24	4.670858279
25	4.644194772
26	4.620451678
27	4.605329632
28	4.591873273
29	4.576130055
30	4.563326212
31	4.553508298
32	4.53364255
33	4.515901695
34	4.505039872
35	4.491308054
36	4.479281271
37	4.466913339
38	4.454405895
39	4.447546598
40	4.436732405
41	4.429473409
