iter	Passed	Remaining
0	686	3434161
1	1233	3082717
2	1578	2628751
3	1804	2254319
4	2046	2044432
5	2265	1885693
6	2753	1964071
7	3197	1995432
8	3439	1907244
9	3716	1854561
10	3957	1795039
11	4177	1736446
12	4434	1701070
13	4690	1670453
14	5015	1666714
15	5483	1708111
16	5791	1697602
17	6227	1723516
18	6520	1709434
19	6998	1742690
20	7427	1761061
21	7822	1769969
22	8102	1753363
23	8466	1755301
24	8858	1762849
25	9313	1781716
26	9679	1782871
27	9896	1757382
28	10257	1758268
29	10657	1765556
30	10869	1742353
31	11163	1733083
32	11490	1729553
33	11738	1714513
34	12170	1726405
35	12418	1712418
36	12963	1738888
37	13458	1757426
38	13711	1744199
39	14275	1770171
40	14628	1769389
41	14883	1756973
